ime,gorovje,višina (m),število ogledov,priljubljenost (mesto),število planinskih točk v okolici,število poti
Krn,Julijske Alpe,2244,722940,7,7,12

Veliki Draški vrh,Julijske Alpe,2243,559325,114,11,10

Zadnja Ponca,Julijske Alpe,2242,334933,855,10,2

Vrh Grubje,Julijske Alpe,2240,238474,1226,3,1

Srednja Ponca,Julijske Alpe,2228,419038,530,9,2

Čelo,Julijske Alpe,2228,446808,430,2,7

Srednji Vogel,Julijske Alpe,2226,330554,870,19,1

Vernar,Julijske Alpe,2225,461694,375,12,7

Rombon,Julijske Alpe,2208,589905,66,3,5

Vodnikov Vršac (Vršac nad Zadnjico),Julijske Alpe,2194,352159,787,15,4

Kopica,Julijske Alpe,2190,435203,471,14,3

Plešivec (Loška stena),Julijske Alpe,2184,386762,653,4,2

Gomiščkovo zavetišče na Krnu,Julijske Alpe,2182,462675,371,6,5

Prvi Vogel,Julijske Alpe,2181,376380,693,18,1

Vrh nad Peski,Julijske Alpe,2176,468484,355,9,6

Batognica,Julijske Alpe,2164,519626,192,9,9

Zgornje Kriško jezero,Julijske Alpe,2158,481802,311,14,2

Koča na Doliču,Julijske Alpe,2151,563337,110,14,9

Bivak Tarvisio,Julijske Alpe,2150,640,2327,0,0

Velika Baba (Kanin),Julijske Alpe,2148,5250,2005,2,1

Bela peč/Monte Bila pec,Julijske Alpe,2146,396116,613,5,1

Krnčica,Julijske Alpe,2142,443276,443,7,2

Teme,Julijske Alpe,2136,283742,1050,3,1

Kotovo sedlo,Julijske Alpe,2134,459515,381,5,2

Mali Draški vrh,Julijske Alpe,2132,517539,202,12,8

Jerebica,Julijske Alpe,2126,571841,89,2,2

Veliki Babanski Skedenj,Julijske Alpe,2121,6260,1997,4,1

Bivak na Jezerih,Julijske Alpe,2118,411962,560,12,1

Suhi vrh,Julijske Alpe,2109,378455,687,13,1

Goličica,Julijske Alpe,2101,7640,1989,4,1

Cesar,Julijske Alpe,2098,405663,586,12,1

Velika Tičarica,Julijske Alpe,2091,494508,271,16,3

Ogradi,Julijske Alpe,2087,500137,252,11,3

Poldašnja špica/Jof di Miezegnot,Julijske Alpe,2087,425380,511,2,3

Šitna glava,Julijske Alpe,2087,474993,334,13,1

Tolminski Kuk,Julijske Alpe,2085,517874,201,9,9

Zadnjiški Ozebnik,Julijske Alpe,2084,456623,389,5,2

Slatna,Julijske Alpe,2077,414530,551,16,3

Sleme,Julijske Alpe,2077,540695,141,3,3

Prevalski Stog,Julijske Alpe,2075,432800,482,14,4

Rigljica,Julijske Alpe,2074,331445,867,5,1

Kamniti lovec / Cima del Cacciatore,Julijske Alpe,2071,522306,186,2,5

Mala Tičarica,Julijske Alpe,2071,517026,203,13,4

Zasavska koča na Prehodavcih,Julijske Alpe,2071,601522,57,14,7

Zavetišče pod Špičkom,Julijske Alpe,2064,495614,263,4,4

Podrta gora,Julijske Alpe,2061,7220,1993,8,3

Veliki Pršivec,Julijske Alpe,2056,420397,528,3,1

Vrh nad Škrbino,Julijske Alpe,2054,476248,331,7,12

Zeleni vrh,Julijske Alpe,2052,349007,799,9,6

Pogačnikov dom na Kriških podih,Julijske Alpe,2050,628437,40,14,4

Viševnik,Julijske Alpe,2050,709922,10,10,21

Dve špici/Due Pizzi,Julijske Alpe,2046,405580,588,1,1

Veliki Lemež,Julijske Alpe,2042,2150,2097,8,2

Bivak Marrusich,Julijske Alpe,2041,267613,1115,5,2

Jezerski Stog,Julijske Alpe,2040,495638,262,12,6

Na Pečeh,Julijske Alpe,2039,313847,932,15,1

Srednji vrh,Julijske Alpe,2032,335939,846,9,2

Drobeče Sleme,Julijske Alpe,2029,338324,838,3,3

Kreda,Julijske Alpe,2025,442967,445,14,2

Eva,Julijske Alpe,2019,430527,495,13,1

Velika Baba,Julijske Alpe,2016,501922,246,3,4

Debela peč,Julijske Alpe,2014,672652,21,7,13

Adam,Julijske Alpe,2012,421760,527,13,1

Lopatnik,Julijske Alpe,2012,408298,572,4,1

Brda,Julijske Alpe,2008,486176,296,9,9

Mahavšček,Julijske Alpe,2008,499377,253,5,5

Rjavo jezero,Julijske Alpe,2006,443471,441,19,3

Ablanca,Julijske Alpe,2004,514988,209,11,9

Lanževica,Julijske Alpe,2003,491291,282,3,6

Kal,Julijske Alpe,2001,391435,639,1,1

Meja,Julijske Alpe,1996,260040,1141,7,4

Vrh nad Vodeno Rupo,Julijske Alpe,1995,201587,1371,18,1

Zeleno jezero,Julijske Alpe,1988,451393,414,20,3

Bivak na Rušju,Julijske Alpe,1980,443150,444,12,1

Velika Bavha / Monte Robon,Julijske Alpe,1980,313351,934,3,3

Vogel (nad Lepeno),Julijske Alpe,1980,1300,2197,8,2

Draški rob,Julijske Alpe,1979,335489,849,12,2

Bogatin,Julijske Alpe,1977,529283,171,6,4

Lipanski vrh,Julijske Alpe,1974,489168,291,8,3

Pri Banderi,Julijske Alpe,1974,200738,1374,4,1

Vrh Planje,Julijske Alpe,1971,350807,791,8,3

Raskovec,Julijske Alpe,1967,352740,783,10,6

Rodica,Julijske Alpe,1966,586573,68,7,9

Bivak pod Kotovim sedlom,Julijske Alpe,1965,402934,593,7,2

Mrežce,Julijske Alpe,1965,524298,180,9,7
