ime planinske točke,ime bližnje točke,višina bližnje točke (m) 
Koroška Rinka (Križ),Skuta,2532
Koroška Rinka (Križ),Dolgi hrbet,2473
Koroška Rinka (Križ),Štruca,2457
Koroška Rinka (Križ),Kranjska Rinka,2453
Koroška Rinka (Križ),Štajerska Rinka,2374
Koroška Rinka (Križ),Mala Rinka,2289
Koroška Rinka (Križ),Turska gora,2251
Koroška Rinka (Križ),Mrzla gora,2203
Koroška Rinka (Križ),Velika (Koroška) Baba,2127
Koroška Rinka (Križ),Storžek,2110
Koroška Rinka (Križ),Ledinski vrh,2108
Koroška Rinka (Križ),Kogel,2100
Koroška Rinka (Križ),Bivak pod Skuto,2070
Koroška Rinka (Križ),Bivak pod Mrzlim vrhom,1980
Koroška Rinka (Križ),Kranjska koča na Ledinah,1700
Koroška Rinka (Križ),Dom na Okrešlju,1396
Kosijev dom na Vogarju,Planina Vodični vrh,1486
Kosijev dom na Vogarju,Slap Suha,950
Kosijev dom na Vogarju,Koča na Vojah,690
Kosmatica / Kosmatitza,Ovčji vrh (Kozjak) / Geissberg (Kosiak),2024
Kosmatica / Kosmatitza,Svačica,1953
Kosmatica / Kosmatitza,Celovška koča / Klagenfurter Hutte,1664
Kosmatica / Kosmatitza,Vgrizeva planina / Ogrisalm,1569
Kosmatica / Kosmatitza,Požgani rob,1513
Kosmatica / Kosmatitza,Veliki Rob / Großer Rain,1464
Kota 1313,Rombon,2208
Kotovo sedlo,Jalovec,2645
Kotovo sedlo,Veliki Ozebnik,2480
Kotovo sedlo,Vevnica,2342
Kotovo sedlo,Strug,2265
Kotovo sedlo,Bivak pod Kotovim sedlom,1965
Kovačičeva glava,Srednji Vogel,2226
Kovačičeva glava,Kopica,2190
Kovačičeva glava,Prvi Vogel,2181
Kovačičeva glava,Velika Tičarica,2091
Kovačičeva glava,Slatna,2077
Kovačičeva glava,Mala Tičarica,2071
Kovačičeva glava,Kreda,2025
Kovačičeva glava,Vrh nad Vodeno Rupo,1995
Kovačičeva glava,Bela glava,1926
Kovačičeva glava,Rušnata glava,1899
Kovačičeva glava,Visoka glava,1822
Kovačičeva glava,Vrtec,1809
Kovačičeva glava,Stadorski Orliči,1782
Kovačičeva glava,Koča pri Triglavskih jezerih,1685
Kovačičeva glava,Planina Ovčarija,1660
Kovačičeva glava,Planina Viševnik,1625
Kovačičeva glava,Planina Dedno Polje,1560
Kovinarska koča v Krmi,Debela peč,2014
Kovinarska koča v Krmi,Brda,2008
Kovinarska koča v Krmi,Okroglež,1965
Kovinarska koča v Krmi,Macesnovec,1926
Kovinarska koča v Krmi,Klečica,1889
Kozji vrh,Turni (pri Kozjem vrhu),1432
Kozlov rob,Tolminska korita,180
Koča Berta / Bertahütte,Kepa,2143
Koča Berta / Bertahütte,Dovška Mala Kepa,2077
Koča Berta / Bertahütte,Gubno,2035
Koča Berta / Bertahütte,Kamnica (Komnica) / Ferlacher Spitze,1742
Koča Pr Zdravc,Veliki Javornik (Ženiklovec),1716
Koča Pr Zdravc,Bela peč,1583
Koča Pr Zdravc,Planina Zgornja Konjščica,1578
Koča Pr Zdravc,Planina Javornik,1550
Koča Pr Zdravc,Planina Spodnja Konjščica,1451
Koča Pr Zdravc,Spominska plošča Jožeta Rozmana,1450
Koča Vrtača,Begunjščica,2060
Koča Vrtača,Begunjska Vrtača,1991
Koča Vrtača,Na Možeh,1784
Koča Vrtača,Vrh Ljubeljščice (Triangel),1704
Koča Vrtača,Spodnji Plot,1682
Koča Vrtača,Dom na Zelenici,1536
Koča Vrtača,Polna peč,1503
Koča Vrtača,Potočnikova planina,1410
Koča Vrtača,Koča na Ljubelju,1370
Koča Vrtača,Sveta Ana (Ljubelj),1032
Koča na Dobrči,Šentanski vrh,1635
Koča na Dobrči,Dobrča,1634
Koča na Dobrči,Lešanska planina,1450
Koča na Dobrči,Breška planina,1100
Koča na Doliču,Triglav,2864
Koča na Doliču,Kanjavec,2569
Koča na Doliču,Kanjavec (Zahodni vrh),2569
Koča na Doliču,Glava v Zaplanji,2556
Koča na Doliču,Morbegna,2520
Koča na Doliču,Poprovec,2496
Koča na Doliču,Teme (Hribarice),2495
Koča na Doliču,Mišeljski Konec,2464
Koča na Doliču,Vršaki (Vzhodni vrh),2448
Koča na Doliču,Vrh Hribaric,2388
Koča na Doliču,Šmarjetna glava,2358
Koča na Doliču,Mišelj vrh,2350
Koča na Doliču,Škednjovec,2309
Koča na Doliču,Vodnikov Vršac (Vršac nad Zadnjico),2194
Koča na Golici,Golica,1835
Koča na Golici,Krvavka,1784
Koča na Golici,Mala Golica,1646
Koča na Golici,Planina Možine,1352
Koča na Golici,Markljev Rovt,1250
Koča na Gozdu,Prisank / Prisojnik,2547
Koča na Gozdu,Šitna glava,2087
Koča na Gozdu,Prednje Robičje,1941
Koča na Gozdu,Kumlehova glava,1788
Koča na Gozdu,Sovna glava,1750
Koča na Gozdu,Vršič vrh,1737
Koča na Gozdu,Poštarski dom na Vršiču,1688
Koča na Gozdu,Tičarjev dom na Vršiču,1618
Koča na Gozdu,Visoki Mavrinc,1562
Koča na Gozdu,Erjavčeva koča na Vršiču,1525
Koča na Gozdu,Tonkina koča na Vršiču,1380
Koča na Gozdu,Ruska kapelica,1130
Koča na Gozdu,Mihov dom na Vršiču,1085
Koča na Grohatu,Velika Raduha,2062
Koča na Grohatu,Mala Raduha,2029
Koča na Grohatu,Lanež,1925
Koča na Grohatu,Jelovec,1808
Koča na Grohatu,Koča na Loki pod Raduho,1534
Koča na Grohatu,Izletniška kmetija Bukovc (Bukovnik),1327
Koča na Klemenči jami,Ojstrica,2350
Koča na Klemenči jami,Krofička,2083
Koča na Klemenči jami,Rjavčki vrh (Planinšca),1898
Koča na Klemenči jami,Plesnikova planina,1319
Koča na Kriški gori,Vrata,1591
Koča na Kriški gori,Planica (vzletišče Gozd),926
Koča na Kriški gori,Zavetišče v Gozdu,891
Koča na Ljubelju,Planina Korošica,1554
Koča na Ljubelju,Polna peč,1503
Koča na Ljubelju,Koča Vrtača,1288
Koča na Ljubelju,Sveta Ana (Ljubelj),1032
Koča na Loki pod Raduho,Velika Raduha,2062
Koča na Loki pod Raduho,Mala Raduha,2029
Koča na Loki pod Raduho,Lanež,1925
Koča na Loki pod Raduho,Jelovec,1808
Koča na Loki pod Raduho,Planina Javorje,1594
Koča na Loki pod Raduho,Planina Arta,1564
Koča na Loki pod Raduho,Koča na Grohatu,1460
Koča na Naravskih ledinah,Uršlja gora (Plešivec),1699
Koča na Petrovem Brdu,Lajnar,1549
Koča na Petrovem Brdu,Lovčev bivak Pri Koucah,1192
Koča na Petrovem Brdu,Kup,1046
Koča na Planini pri Jezeru,Vrtec,1809
Koča na Planini pri Jezeru,Pršivec,1761
Koča na Planini pri Jezeru,Planina Viševnik,1625
Koča na Planini pri Jezeru,Planina Dedno Polje,1560
Koča na Planini pri Jezeru,Planina Vodični vrh,1486
Koča na Planini pri Jezeru,Planina Blato,1147
Koča na Soriški planini,Slatnik (severozahodni vrh),1609
Koča na Soriški planini,Možic,1602
Koča na Soriški planini,Slatnik (jugovzhodni vrh),1597
Koča na Soriški planini,Šavnik,1574
Koča na Soriški planini,Lajnar,1549
Koča na Soriški planini,Dravh,1547
Koča na Soriški planini,Črni vrh (nad Soriško planino),1486
Koča na Soriški planini,Tonderškofel,1326
Koča na Soriški planini,Planina za Šavnikom,1320
Koča na Soriški planini,Lovčev bivak Pri Koucah,1192
Koča na Travniku,Veliki Travnik,1637
Koča na Travniku,Mali Travnik,1532
Koča na Travniku,Planina Mali Travnik,1500
Koča na Travniku,Partizanska bolnica Mrzle vode,1226
Koča na Travniku,Počka (Robnikova) planina,1165
Koča na Treh plotih,Medvedjak,1573
Koča na Treh plotih,Javorca (Golte),1465
Koča na Treh plotih,Hotel Golte,1410
Koča na Treh plotih,Mozirska koča na Golteh,1356
Koča na Vojah,Kosijev dom na Vogarju,1054
Koča na Vojah,Slap Suha,950
Koča na Vojah,Planina Blatce,888
Koča na planini Kuhinja,Planica pod Krnom,1376
Koča na planini Kuhinja,Planina Leskovca,1230
Koča na planini Kuhinja,Italijanska vojaška kapela na Planici,1220
Koča na planini Preval-a,Begunjščica,2060
Koča na planini Preval-a,Begunjska Vrtača,1991
Koča na planini Preval-a,Čisovec,1419
Koča na planini Preval-a,Potočnikova planina,1410
Koča na planini Razor,Meja,1996
Koča na planini Razor,Vogel,1922
Koča na planini Razor,Rušnati vrh,1915
Koča na planini Razor,Vrh Krnic,1896
Koča na planini Razor,Vrh Planje (nad Globokim),1863
Koča na planini Razor,Žabiški Kuk,1844
Koča na planini Stador,Kobilja glava,1475
Koča na planini Stador,Jalovnik,1452
Koča na planini Stador,Planina Lom,1090
Koča na planini Stador,Kobala,1080
Koča na planini Stador,Slap Beri,454
Koča nad Arihovo pečjo /  Rossalmhütte,Kamnica (Komnica) / Ferlacher Spitze,1742
Koča nad Arihovo pečjo /  Rossalmhütte,Arihova peč / Arichwand,1090
Koča pod Bogatinom,Dom na Komni,1520
Koča pod Bogatinom,Planina Govnjač,1480
Koča pod Košuto / Koschutahaus,Košutnikov turn,2133
Koča pod Košuto / Koschutahaus,Pungartska gora,2025
Koča pod Košuto / Koschutahaus,Cjajnik / Lärchenturm,1965
Koča pod Košuto / Koschutahaus,Mejnik,1517
Koča pri Peričniku,Vrtaški vrh,1898
Koča pri Peričniku,Lengarjeva glava,1498
Koča pri Peričniku,Vrtaška planina,1462
Koča pri Peričniku,Črna gora,1350
Koča pri Peričniku,Slap Peričnik - zgornji slap,850
Koča pri Peričniku,Slap Peričnik - spodnji slap,800
Koča pri Savici,Vrtec,1809
Koča pri Savici,Stadorski Orliči,1782
Koča pri Savici,Rigeljc,1768
Koča pri Savici,Pršivec,1761
Koča pri Savici,Črno jezero,1294
Koča pri Savici,Slap Savica,794
Koča pri Triglavskih jezerih,Kopica,2190
Koča pri Triglavskih jezerih,Velika Tičarica,2091
Koča pri Triglavskih jezerih,Mala Tičarica,2071
Koča pri Triglavskih jezerih,Vrh nad Vodeno Rupo,1995
Koča pri Triglavskih jezerih,Bela glava,1926
Koča pri Triglavskih jezerih,Rušnata glava,1899
Koča pri Triglavskih jezerih,Kovačičeva glava,1827
Koča pri Triglavskih jezerih,Visoka glava,1822
Koča pri Triglavskih jezerih,Planina Ovčarija,1660
Koča pri Triglavskih jezerih,Planina Lopučnica,1558
Koča pri izviru Završnice,Vrtača,2181
Koča pri izviru Završnice,Begunjščica,2060
Koča pri izviru Završnice,Palec,2026
Koča pri izviru Završnice,Zelenjak,2024
Koča pri izviru Završnice,Žleb (Suho ruševje),1916
Koča pri izviru Završnice,Srednji vrh (nad Završnico),1796
Koča pri izviru Završnice,Na Možeh,1784
Koča pri izviru Završnice,Vrh Ljubeljščice (Triangel),1704
Koča pri izviru Završnice,Spodnji Plot,1682
Koča pri izviru Završnice,Roblekov dom na Begunjščici,1657
Koča pri izviru Završnice,Dom na Zelenici,1536
Koča v Krnici,Prisank / Prisojnik,2547
Koča v Krnici,Rogljica,2547
Koča v Krnici,Ruska kapelica,1130
Koča v Krnici,Mihov dom na Vršiču,1085
Koštrunove špice,Viš/Jof Fuart,2666
Koštrunove špice,Špik nad Nosom / Foronon del Buinz,2531
Koštrunove špice,Špik nad Planjo / Punta Plagnis,2411
Koštrunove špice,Vrh Krnega dola / Monte Cregnedul,2351
Koštrunove špice,Veliki Nabojs / Monte Nabois grande,2313
Koštrunove špice,Rifugio Corsi,1874
Koštrunove špice,Viška planina,1530
Košutica,Veliki vrh (Košuta),2088
Košutica,Toplar,2000
Košutica,Lokovnikov Grintovec / Grintoutz,1809
Košutica,Zajmenove peči,1745
Košutica,Hajnžev Praprotnik / Zeller Prapotnik,1727
Košutica,Hajnževo sedlo,1701
Košutica,Planina Korošica,1554
Košutna,Vrh Korena,1999
Košutna,Kompotela,1989
Košutna,Veliki Zvoh,1971
Košutna,Krvavec,1853
Košutna,Mokrica,1853
Košutna,Planina Košutna,1778
Košutna,Planina Dolga njiva (Krvavec),1688
Košutna,Planina Koren,1675
Košutnikov turn,Tolsta Košuta - Vzhodni vrh,2057
Košutnikov turn,Tolsta Košuta - Zahodni vrh,2026
Košutnikov turn,Cjajnik / Lärchenturm,1965
Košutnikov turn,Planina Zgornja Dolga njiva,1580
Košutnikov turn,Mejnik,1517
Košutnikov turn,Planina Spodnja Dolga njiva,1400
Košutnikov turn,Koča pod Košuto / Koschutahaus,1280
Kraguljše,Ojstrc / Hochobir,2139
Kraguljše,Kapelška koča / Eisenkappler Hütte,1553
Kraguljše,Obirska planina,1272
Kranjska Rinka,Skuta,2532
Kranjska Rinka,Dolgi hrbet,2473
Kranjska Rinka,Štruca,2457
Kranjska Rinka,Koroška Rinka (Križ),2433
Kranjska Rinka,Štajerska Rinka,2374
Kranjska Rinka,Mala Rinka,2289
Kranjska Rinka,Turska gora,2251
Kranjska Rinka,Mrzla gora,2203
Kranjska Rinka,Velika (Koroška) Baba,2127
Kranjska Rinka,Storžek,2110
Kranjska Rinka,Ledinski vrh,2108
Kranjska Rinka,Bivak pod Grintovcem,2100
Kranjska Rinka,Kogel,2100
Kranjska Rinka,Bivak pod Skuto,2070
Kranjska Rinka,Bivak pod Mrzlim vrhom,1980
Kranjska Rinka,Kranjska koča na Ledinah,1700
Kranjska Rinka,Dom na Okrešlju,1396
Kranjska koča na Ledinah,Grintovec,2558
Kranjska koča na Ledinah,Skuta,2532
Kranjska koča na Ledinah,Dolgi hrbet,2473
Kranjska koča na Ledinah,Štruca,2457
Kranjska koča na Ledinah,Kranjska Rinka,2453
Kranjska koča na Ledinah,Koroška Rinka (Križ),2433
Kranjska koča na Ledinah,Štajerska Rinka,2374
Kranjska koča na Ledinah,Mala Rinka,2289
Kranjska koča na Ledinah,Velika (Koroška) Baba,2127
Kranjska koča na Ledinah,Storžek,2110
Kranjska koča na Ledinah,Ledinski vrh,2108
Kranjska koča na Ledinah,Bivak pod Grintovcem,2100
Kranjska koča na Ledinah,Kogel,2100
Kranjska koča na Ledinah,Bivak pod Skuto,2070
Kranjska koča na Ledinah,Bivak pod Mrzlim vrhom,1980
Kranjska koča na Ledinah,Vratca,1802
Kranjska koča na Ledinah,Češka koča na Spodnjih Ravneh,1542
Kranjska reber,Kašna planina,1317
Krasji vrh,Veliki vrh (Polovnik),1768
Kravja Črna gora,Rušni vrh,1786
Kravja Črna gora,Šavnik,1574
Kravja Črna gora,Krevl,1515
Kravja Črna gora,Kobla,1498
Kravja Črna gora,Planina Za Črno goro,1340
Kravja Črna gora,Vrh Bače,1273
Kravji vrh / Kuhberg,Ojstrc / Hochobir,2139
Kreda,Debeli vrh,2390
Kreda,Zadnji Vogel,2327
Kreda,Mala Zelnarica,2310
Kreda,Srednji Vogel,2226
Kreda,Kopica,2190
Kreda,Prvi Vogel,2181
Kreda,Velika Tičarica,2091
Kreda,Slatna,2077
Kreda,Vrh nad Vodeno Rupo,1995
Kreda,Bela glava,1926
Kreda,Kovačičeva glava,1827
Kreda,Visoka glava,1822
Kreda,Planina Dedno Polje,1560
Kreda,Planina v Lazu,1560
Kredarica,Triglav,2864
Kredarica,Mali Triglav,2725
Kredarica,Glava v Zaplanji,2556
Kredarica,Rž,2538
Kredarica,Triglavski dom na Kredarici,2515
Kredarica,Begunjski vrh,2461
Kredarica,Visoka Vrbanova špica,2408
Kredarica,Dom Planika pod Triglavom,2401
Kredarica,Vrh Snežne konte,2342
Kredarica,Dom Valentina Staniča pod Triglavom,2332
Kredarica,Cesar,2098
Kredarica,Planina Zgornja Krma,1720
Kres nad Kočno,Snežna jama na Mežakli,1130
Kres nad Kočno,Planina Obranica,1035
Kres nad Kočno,Vrše,850
Kres nad Kočno,Poljanska baba,830
Kres nad Kočno,Žerjavec (Kavče),805
Kres nad Kočno,Jamnikov spodmol,720
Kres nad Kočno,Strana,711
Kres nad Kočno,Čopov rovt,710
Kres nad Kočno,Spominsko obeležje Aleš Kunaver,660
Kresišče,Murnovc,1866
Kresišče,Maloško poldne / Mallestiger Mittagskogel,1823
Kresišče,Mojstrovica,1816
Kresišče,Ostra peč / Mallestiger Mittagskogel,1801
Krevl,Rušni vrh,1786
Krevl,Šavnik,1574
Krevl,Kravja Črna gora,1541
Krevl,Kobla,1498
Krevl,Planina Za Črno goro,1340
Krevl,Vrh Bače,1273
Krevl,Sveti Lenart (Bača pri Podbrdu),751
Kriška planina,Veliki Zvoh,1971
Kriška planina,Krvavec,1853
Kriška planina,Dom na Krvavcu,1684
Kriška planina,Planina Koren,1675
Kriška planina,Kržišče (Pokovše),1658
Kriška planina,Hotel Krvavec,1600
Kriška planina,Dom na Gospincu,1491
Kriška planina,Planina Jezerca,1410
Kriška planina,Planina Osredek,1100
Kriški rob,Razor,2601
Kriški rob,Stenar,2501
Kriški rob,Planja,2453
Kriški rob,Pihavec,2419
Kriški rob,Križ,2410
Kriški rob,Gubno,2403
Kriški rob,Bovški Gamsovec,2392
Kriški rob,Šplevta (Indijanec),2382
Kriški rob,Spodnji Stenar,2356
Kriški rob,Zgornje Kriško jezero,2158
Kriški rob,Pogačnikov dom na Kriških podih,2050
Kriški rob,Bivak na Rušju,1980
Kriški rob,Spodnje Kriško jezero,1880
Kriški rob,Lovska koča Na Utrci,1500
Križ,Razor,2601
Križ,Dolkova špica,2591
Križ,Rogljica,2547
Križ,Stenar,2501
Križ,Planja,2453
Križ,Pihavec,2419
Križ,Gubno,2403
Križ,Bovški Gamsovec,2392
Križ,Šplevta (Indijanec),2382
Križ,Kriški rob,2366
Križ,Spodnji Stenar,2356
Križ,Zgornje Kriško jezero,2158
Križ,Pogačnikov dom na Kriških podih,2050
Križ,Bivak na Rušju,1980
Križ,Spodnje Kriško jezero,1880
Križevnik,Molička peč,2029
Križevnik,Jamarski bivak na Dleskovški planoti,1910
Križevnik,Planina Polšak,1695
Križevnik,Robanova planina,890
Krn,Gomiščkovo zavetišče na Krnu,2182
Krn,Vrh nad Peski,2176
Krn,Batognica,2164
Krn,Krnčica,2142
Krn,Srednji vrh,2032
Krn,Planina na Polju,1530
Krn,Bivak na Črniku,1160
Krnes,Komen,1684
Krničarjeva koča na planini Javornik,Storžič,2132
Krničarjeva koča na planini Javornik,Grebenc,1479
Krničarjeva koča na planini Javornik,Velika Poljana,1410
Krničarjeva koča na planini Javornik,Mala Poljana,1325
Krničarjeva koča na planini Javornik,Dom pod Storžičem,1123
Krničarjeva koča na planini Javornik,Sveti Lovrenc (Bašelj),892
Krničarjeva koča na planini Javornik,Gradišče (Pustinjak),871
Krnsko jezero,Veliki Lemež,2042
Krnsko jezero,Vogel (nad Lepeno),1980
Krnsko jezero,Veliki Šmohor,1944
Krnsko jezero,Mali Šmohor,1939
Krnsko jezero,Planina na Polju,1530
Krnsko jezero,Dom pri Krnskih jezerih,1385
Krnčica,Krn,2244
Krnčica,Gomiščkovo zavetišče na Krnu,2182
Krnčica,Veliki Lemež,2042
Krnčica,Lopatnik,2012
Krnčica,Vogel (nad Lepeno),1980
Krnčica,Planina na Polju,1530
Krnčica,Bivak na Črniku,1160
Krofička,Ojstrica,2350
Krofička,Mala Ojstrica,2017
Krofička,Rjavčki vrh (Planinšca),1898
Krofička,Kapelica na Molički planini,1780
Krofička,Plesnikova planina,1319
Krofička,Koča na Klemenči jami,1208
Krofička,Robanova planina,890
Krsteniški Stog,Ogradi,2087
Krsteniški Stog,Prevalski Stog,2075
Krsteniški Stog,Jezerski Stog,2040
Krsteniški Stog,Eva,2019
Krsteniški Stog,Adam,2012
Krsteniški Stog,Planina Jezerce,1720
Krsteniški Stog,Planina Krstenica,1670
Krsteniški Stog,Planina v Lazu,1560
Krsteniški Stog,Planina Zgornja Grintovica,1250
Krsteniški Stog,Planina Spodnja Grintovica,1175
Krsteniški Stog,Planina Blato,1147
Krsteniški Stog,Slap Mostnice,773
Krvavec,Košutna,1974
Krvavec,Veliki Zvoh,1971
Krvavec,Planina Košutna,1778
Krvavec,Planina Dolga njiva (Krvavec),1688
Krvavec,Dom na Krvavcu,1684
Krvavec,Planina Koren,1675
Krvavec,Kržišče (Pokovše),1658
Krvavec,Hotel Krvavec,1600
Krvavec,Dom na Gospincu,1491
Krvavec,Kriška planina,1480
Krvavec,Planina Jezerca,1410
Krvavka,Golica,1835
Krvavka,Mala Golica,1646
Krvavka,Koča na Golici,1582
Krvavka,Ptičji vrh,1550
Krvavka,Planina Možine,1352
Krvavka,Markljev Rovt,1250
Kržišče (Pokovše),Krvavec,1853
Kržišče (Pokovše),Planina Košutna,1778
Kržišče (Pokovše),Dom na Krvavcu,1684
Kržišče (Pokovše),Planina Koren,1675
Kržišče (Pokovše),Hotel Krvavec,1600
Kržišče (Pokovše),Dom na Gospincu,1491
Kržišče (Pokovše),Kriška planina,1480
Kržišče (Pokovše),Planina Jezerca,1410
Kržišče (Pokovše),Planina Osredek,1100
Kržišče (Pokovše),Korošaški slapovi,800
Kser,Tolminski Kuk,2085
Kser,Zeleni vrh,2052
Kser,Mahavšček,2008
Kser,Bogatin,1977
Kser,Vrh Planje,1971
Kser,Vrh Škrli,1926
Kser,Planina Govnjač,1480
Kser,Planina Dobrenjščica,1304
Kukova špica,Dovški križ,2542
Kukova špica,Široka peč,2497
Kukova špica,Šplevta,2272
Kukova špica,Bivak na Jezerih,2118
Kukova špica,Sleme,2077
Kukova špica,Drobeče Sleme,2029
Kukova špica,Pri treh macesnih,1810
Kukova špica,Bivak Za Akom,1340
Kukova špica,Zgornji Martuljkov slap,1150
Kumlehova glava,Prednje Robičje,1941
Kumlehova glava,Visoki Mavrinc,1562
Kumlehova glava,Erjavčeva koča na Vršiču,1525
Kumlehova glava,Tonkina koča na Vršiču,1380
Kumlehova glava,Koča na Gozdu,1226
Kumlehova glava,Ruska kapelica,1130
Kumlehova glava,Mihov dom na Vršiču,1085
Kunšperski vrh (Brezovec),Veliki Rogatec (Veliki Rogac),1557
Kunšperski vrh (Brezovec),Lepenatka,1425
Kunšperski vrh (Brezovec),Bivak na Kalu,1285
Kunšperski vrh (Brezovec),Mali Rogatec (Mali Rogac),1228
Kup,Slatnik (severozahodni vrh),1609
Kup,Slatnik (jugovzhodni vrh),1597
Kup,Lajnar,1549
Kup,Vrh Bače,1273
Kup,Lovčev bivak Pri Koucah,1192
Kup,Koča na Petrovem Brdu,804
Kup,Sveti Lenart (Bača pri Podbrdu),751
Kurji vrh,Rigljica,2074
Kurji vrh,Bivak pod Špikom,1424
Kurji vrh,Spodnji Martuljkov slap,850
Kurji vrh,Jezero Jasna,830
Kušpergarjev turn (Kušpergarjevi turni),Veliki vrh nad Završnikom,968
Kušpergarjev turn (Kušpergarjevi turni),Kamnek,873
Kušpergarjev turn (Kušpergarjevi turni),RIS Dolina (Dovžanova soteska),720
Lajnar,Slatnik (severozahodni vrh),1609
Lajnar,Možic,1602
Lajnar,Slatnik (jugovzhodni vrh),1597
Lajnar,Dravh,1547
Lajnar,Črni vrh (nad Soriško planino),1486
Lajnar,Tonderškofel,1326
Lajnar,Koča na Soriški planini,1306
Lajnar,Lovčev bivak Pri Koucah,1192
Lajnar,Kup,1046
Lajnar,Koča na Petrovem Brdu,804
Lanež,Velika Raduha,2062
Lanež,Mala Raduha,2029
Lanež,Jelovec,1808
Lanež,Planina Javorje,1594
Lanež,Koča na Loki pod Raduho,1534
Lanež,Koča na Grohatu,1460
Lanež,Planina Vodol,1324
Lanževica,Velika Baba,2016
Lanževica,Bogatin,1977
Lanževica,Velika Montura,1958
Lastovec,Tolsti vrh (Veža),1985
Lastovec,Deska (Veža),1970
Lastovec,Vodotočno jezero (Veža),1850
Lastovec,Konj,1803
Lastovec,Planina Vodole,1570
Lastovec,Planina Podvežak,1564
Ledinski vrh,Skuta,2532
Ledinski vrh,Dolgi hrbet,2473
Ledinski vrh,Štruca,2457
Ledinski vrh,Kranjska Rinka,2453
Ledinski vrh,Koroška Rinka (Križ),2433
Ledinski vrh,Štajerska Rinka,2374
Ledinski vrh,Mala Rinka,2289
Ledinski vrh,Mrzla gora,2203
Ledinski vrh,Velika (Koroška) Baba,2127
Ledinski vrh,Storžek,2110
Ledinski vrh,Bivak pod Skuto,2070
Ledinski vrh,Bivak pod Mrzlim vrhom,1980
Ledinski vrh,Kranjska koča na Ledinah,1700
Ledinski vrh,Češka koča na Spodnjih Ravneh,1542
Lengarjeva glava,Rušnata Mlinarica,1777
Lengarjeva glava,Požar,1543
Lengarjeva glava,Črna gora,1350
Lengarjeva glava,Slap Peričnik - zgornji slap,850
Lengarjeva glava,Slap Peričnik - spodnji slap,800
Lengarjeva glava,Koča pri Peričniku,750
Lepenatka,Veliki Rogatec (Veliki Rogac),1557
Lepenatka,Kunšperski vrh (Brezovec),1336
Lepenatka,Bivak na Kalu,1285
Lepenatka,Mali Rogatec (Mali Rogac),1228
Lepenatka,Sveti Lenart nad Gornjim Gradom,929
Lešanska planina,Šentanski vrh,1635
Lešanska planina,Dobrča,1634
Lešanska planina,Koča na Dobrči,1478
Lešanska planina,Breška planina,1100
Lešanska planina,Bistriška planina,1057
Lešanska planina,Vaško,1046
Lešanska planina,Tominčev slap,750
Leški cerkvi,Andrejev vrh,897
Leški cerkvi,Volinjak,886
Licjanovec,Storžič,2132
Licjanovec,Srednji vrh,1853
Licjanovec,Cjanovca,1820
Licjanovec,Mali Grintovec,1813
Licjanovec,Bašeljski vrh,1744
Licjanovec,Planina Dolga njiva,1600
Licjanovec,Dom na Kališču,1534
Licjanovec,Planina Kališče,1450
Licjanovec,Turni (pri Kozjem vrhu),1432
Licjanovec,Praprotnikova koča,1380
Lindeški slap,Stenica,1091
Lindeški slap,Špicasti  vrh (Kislica),994
Lindeški slap,Grad Lindek,695
Lipanski vrh,Debela peč,2014
Lipanski vrh,Brda,2008
Lipanski vrh,Mrežce,1965
Lipanski vrh,Okroglež,1965
Lipanski vrh,Debeli vrh nad Lipanco,1962
Lipanski vrh,Veliki Selišnik,1952
Lipanski vrh,Vrh Razora,1893
Lipanski vrh,Blejska koča na Lipanci,1630
Lipenšči hrib,Planina Zajavornik,1292
Logarska peč,Strelovec,1763
Logarska peč,Icmanikova planina,1520
Logarska peč,Knezova planina,1520
Logarska peč,Plesnikova planina,1319
Logarska peč,Slap Palenk,730
Logje,Planina Bala,1181
Logje,Mladinski izobraževalni center v Bavšici,725
Lokovnikov Grintovec / Grintoutz,Veliki vrh (Košuta),2088
Lokovnikov Grintovec / Grintoutz,Košutica,1968
Lokovnikov Grintovec / Grintoutz,Hajnžev Praprotnik / Zeller Prapotnik,1727
Lokovnikov Grintovec / Grintoutz,Hajnževo sedlo,1701
Lokovnikov Grintovec / Grintoutz,Planina Korošica,1554
Lopa,Prestreljenik,2499
Lopa,Velika Črnelska špica,2332
Lopatnik,Krnčica,2142
Lopatnik,Veliki Lemež,2042
Lopatnik,Vogel (nad Lepeno),1980
Lopatnik,Planina Zagreben,1240
Lovska koča Bala,Briceljk,2346
Lovska koča Bala,Planina Bala,1181
Lovska koča Na Utrci,Razor,2601
Lovska koča Na Utrci,Planja,2453
Lovska koča Na Utrci,Pihavec,2419
Lovska koča Na Utrci,Bovški Gamsovec,2392
Lovska koča Na Utrci,Šplevta (Indijanec),2382
Lovska koča Na Utrci,Kriški rob,2366
Lovska koča Na Utrci,Zgornje Kriško jezero,2158
Lovska koča Na Utrci,Goličica,2101
Lovska koča Na Utrci,Pogačnikov dom na Kriških podih,2050
Lovska koča Na Utrci,Spodnje Kriško jezero,1880
Lovska koča Na Utrci,Luknja,1758
Lovska koča Na Utrci,Belopotoški slap,720
Lovska koča Stanič,Pečovnik (kota 1668),1668
Lovska koča Stanič,Pečovnik,1640
Lovska koča Stanič,Veliki vrh nad Komatevro,1634
Lovska koča Stanič,Ruš,1614
Lovska koča Stanič,Močnikova planina,1275
