ime planinske točke,ime bližnje točke,višina bližnje točke (m)
Bela peč/Monte Bila pec,Planina Gorjuda,1404
Bele peči (Lepi vrh),Trupejevo poldne,1931
Bele peči (Lepi vrh),Murnovc,1866
Bele peči (Lepi vrh),Maloško poldne / Mallestiger Mittagskogel,1823
Bele peči (Lepi vrh),Ostra peč / Mallestiger Mittagskogel,1801
Belopotoški slap,Goličica,2101
Belopotoški slap,Zadnjiški Ozebnik,2084
Belopotoški slap,Lovska koča Na Utrci,1500
Belska planina,Galetovec,1265
Belska planina,Turn (nad Bohinjsko Belo),1249
Belska planina,Planina Ilovec,1170
Belska planina (Svečica),Struška,1944
Belska planina (Svečica),Pusti Rovt,1296
Belska planina (Svečica),Markljev Rovt,1250
Belska planina (Svečica),Izvir Javornika,1000
Bezovec,Komen,1684
Bezovec,Partizanska bolnica Mrzle vode,1226
Bezovec,Počka (Robnikova) planina,1165
Bezovec (Dobrovlje),Dom na Dobrovljah,745
Bistriška planina,Šentanski vrh,1635
Bistriška planina,Dobrča,1634
Bistriška planina,Lešanska planina,1450
Bistriška planina,Breška planina,1100
Bistriška planina,Vaško,1046
Bistriška špica/Feistritzer Spitze,Končnikov vrh,2109
Bistriška špica/Feistritzer Spitze,Velika glava,2077
Bistriška špica/Feistritzer Spitze,Veška kopa/Wackendorfer Spitze,2074
Bistriška špica/Feistritzer Spitze,Alpengasthof Siebenhütten,1693
Bistriška špica/Feistritzer Spitze,Planina Zgornja Luža,1573
Bivak Bernardinis,Dve špici/Due Pizzi,2046
Bivak Gorizia,Visoka Bela Špica / Cima Alta di Riobianco,2257
Bivak Gorizia,Rifugio Corsi,1874
Bivak Gorizia,Viška planina,1530
Bivak Gorizia,Rifugio Pellarini,1499
Bivak Gorizia,Rifugio Brunner,1432
Bivak Marrusich,Visoki Kanin,2587
Bivak Marrusich,Mali Kanin,2571
Bivak Marrusich,Vrh Krnice,2441
Bivak Marrusich,Vrh Grubje,2240
Bivak Marrusich,Planina Gorjuda,1404
Bivak Nogara,Mangart,2679
Bivak Nogara,Mangartska koča na Mangartskem sedlu,1906
Bivak Stuparich,Montaž / Jôf di Montasio,2753
Bivak Stuparich,Vrh Brda / Cima Verde,2661
Bivak Stuparich,Bivak Suringar,2430
Bivak Stuparich,Rifugio Grego,1389
Bivak Suringar,Montaž / Jôf di Montasio,2753
Bivak Suringar,Vrh Brda / Cima Verde,2661
Bivak Suringar,Bivak Stuparich,1587
Bivak Suška bajta,Hom (nad Prevaljami),1193
Bivak Suška bajta,Pogorevc,1076
Bivak Za Akom,Široka peč,2497
Bivak Za Akom,Kukova špica,2427
Bivak Za Akom,Na Pečeh,2039
