točka,vrsta
Stol (Julijske Alpe),vrh
Stolpnik,vrh
Storžek,vrh
Storžič,vrh
Strana,vrh
Straža ,vrh
Strelovec,vrh
Strma peč / Monte Cimone,vrh
Strug,vrh
Struška,vrh
Studeniški grad,
Studor,vrh
Studor,planina
Studor,jezero
Studorski preval,sedlo
Suha Rodica (Novi vrh),vrh
Suhi vrh,vrh
Sv. Mihael (Rute (Zavrh)) / St. Michael (Bärental),cerkev
Sv. Miklavž nad Mačami,cerkev
Sv. Peter in Pavel (Perati),cerkev
Svačica,vrh
Sveta Ana (Ljubelj),cerkev
Sveta Ana (Macna) / St. Anna (Matzen),cerkev
Sveta Ana (Tunjice),vrh
Sveta Ana (Tunjice),cerkev
Sveta Ana v Koprivni,cerkev
Sveta Barbara v Zagradu,vrh
Sveta Barbara v Zagradu,cerkev
Sveta Katarina na Homu,cerkev
Sveta Marjeta na Boču,cerkev
Sveta Marjeta pod Stolom,cerkev
Sveta Mati Božja na Čreti,cerkev
Sveta peč / Helige Wand,vrh
Svete Višarje / Monte Lussari,vrh
Svete Višarje / Monte Lussari,koča
Svete Višarje / Monte Lussari,cerkev
Sveti Ahac (Kališe),cerkev
Sveti Donat,cerkev
Sveti Duh pod Olševo,cerkev
Sveti Florjan nad Gornjim Gradom,cerkev
Sveti Jakob v Koprivni,vrh
Sveti Jakob v Koprivni,cerkev
Sveti Janez Krstnik (Ribčev Laz),cerkev
Sveti Janez Krstnik (Ribčev Laz),jezero
Sveti Janez in Pavel (Dobrovlje),sedlo
Sveti Janez in Pavel (Dobrovlje),cerkev
Sveti Janez in Pavel (Dobrovlje),planina
Sveti Jošt na Paškem Kozjaku,cerkev
Sveti Jošt nad Vranskim,cerkev
Sveti Jurij nad Tržičem,vrh
Sveti Jurij nad Tržičem,cerkev
Sveti Križ nad Belimi Vodami,vrh
Sveti Križ nad Belimi Vodami,cerkev
Sveti Lenart (Bača pri Podbrdu),cerkev
Sveti Lenart (Bodešče),cerkev
Sveti Lenart / St. Leonhard,cerkev
Sveti Lenart nad Gornjim Gradom,cerkev
Sveti Lovrenc (Bašelj),cerkev
Sveti Lovrenc nad Zabreznico,vrh
Sveti Lovrenc nad Zabreznico,cerkev
Sveti Mihael na Pečici,cerkev
Sveti Miklavž (Sele),cerkev
Sveti Miklavž na Gori,vrh
Sveti Miklavž na Gori,cerkev
Sveti Nikolaj (Možjanca),cerkev
Sveti Pankracij (Grajski grič),vrh
Sveti Pankracij (Grajski grič),cerkev
Sveti Peter nad Begunjami,cerkev
Sveti Primož in Sveti Peter,koča
Sveti Primož in Sveti Peter,cerkev
Sveti Primož nad Ljubnim,cerkev
Sveti Rok (Sele),cerkev
Sveti Rupert (Završe),vrh
Sveti Rupert (Završe),koča
Sveti Rupert (Završe),cerkev
Sveti Vid (Završe),vrh
Sveti Vid (Završe),cerkev
Sveti Vid pod Jernejevim vrhom,sedlo
Sveti Vid pod Jernejevim vrhom,cerkev
Svinjak,vrh
Svinska planina,planina
Tamarča,vrh
Tegoška planina,planina
Teme,vrh
Teme (Hribarice),vrh
Temnjak,vrh
Tičarjev dom na Vršiču,koča
Tolminska korita,
Tolminski Kuk,vrh
Tolminski Migovec,vrh
Tolsta Košuta - Vzhodni vrh,vrh
Tolsta Košuta - Zahodni vrh,vrh
Tolsti vrh,vrh
Tolsti vrh (Dobrovlje),vrh
Tolsti vrh (Veža),vrh
Tolsti vrh (pri Poljški planini),vrh
Tominčev slap,slap
Tomčeva koča na Poljški planini,koča
Tomčeva koča na Poljški planini,planina
Tonkina koča na Vršiču,koča
Tonovcov grad pri Kobaridu,vrh
Topica/Topitza,vrh
Toplar,vrh
Tosc,vrh
Travnik,vrh
Travnik,vrh
Triglav,vrh
Triglav,bivak
Triglavski dom na Kredarici,vrh
Triglavski dom na Kredarici,koča
Triglavski dom na Kredarici,cerkev
Trupejevo poldne,vrh
Turistična kmetija Trnovc,koča
Turn (nad Bohinjsko Belo),vrh
Turni,vrh
Turni (pri Kozjem vrhu),vrh
Turska gora,vrh
Turška jama v Gozdašnici,
Uršlja gora (Plešivec),vrh
Uršlja gora (Plešivec),koča
Uršlja gora (Plešivec),cerkev
V Boštkú,
Vajnež,vrh
Valvasorjev dom pod Stolom,koča
Vaško,vrh
Velika (Koroška) Baba,vrh
Velika Baba,vrh
Velika Baba (Kanin),vrh
Velika Bavha / Monte Robon,vrh
Velika Boncla,vrh
Velika Martuljška Ponca,vrh
Velika Mojstrovka,vrh
Velika Montura,vrh
Velika Poljana,sedlo
Velika Poljana,koča
Velika Poljana,planina
Velika Raduha,vrh
Velika Tičarica,vrh
Velika Zelenica,vrh
Velika Zelnarica,vrh
Velika glava,vrh
Velika korita Soče,
Velika Črnelska špica,vrh
Veliki Babanski Skedenj,vrh
Veliki Draški vrh,vrh
Veliki Javornik (Ženiklovec),vrh
Veliki Karman / Monte Chiampon,
Veliki Lemež,vrh
Veliki Mošenik / Große Muschenig,vrh
Veliki Nabojs / Monte Nabois grande,vrh
Veliki Oltar,vrh
Veliki Ozebnik,vrh
Veliki Pršivec,vrh
Veliki Rob / Großer Rain,vrh
Veliki Rogatec (Veliki Rogac),vrh
Veliki Selišnik,vrh
Veliki Travnik,vrh
Veliki Zvoh,vrh
Veliki Zvoh,jezero
Veliki slap Kozjak,jezero
Veliki slap Kozjak,slap
Veliki vrh,vrh
Veliki vrh (Košuta),vrh
Veliki vrh (Polovnik),
Veliki vrh (Veža),vrh
Veliki vrh (nad Mežiško dolino),vrh
Veliki vrh nad Komatevro,vrh
Veliki vrh nad Matkovim kotom,vrh
Veliki vrh nad Završnikom,vrh
Veliki Šmohor,vrh
Veliko Kladivo,vrh
Veliko Špičje,vrh
Velo polje,planina
Vernar,vrh
Veronjak / Hausberg,vrh
Vetrh vrh,vrh
Vevnica,vrh
Veška kopa/Wackendorfer Spitze,vrh
Veška planina / Wackendorfer Alm,koča
Veška planina / Wackendorfer Alm,cerkev
Veška planina / Wackendorfer Alm,planina
Vežica,vrh
Vgrizeva planina / Ogrisalm,planina
Vinska gora,vrh
Vinski vrh (Vimperk),vrh
Vinski vrh (Vimperk),cerkev
Virnikov Grintovec,vrh
Visoka Bavha,vrh
Visoka Bela Špica / Cima Alta di Riobianco,vrh
Visoka Bela Špica / Cima Alta di Riobianco,bivak
Visoka Ponca,vrh
Visoka Vrbanova špica,vrh
Visoka glava,vrh
Visoka glava (na Matajurju),vrh
Visoka peč,vrh
Visoki Kanin,vrh
Visoki Mavrinc,vrh
Visoki Orlov rob,vrh
Visoki Rokav,vrh
Visoki vrh,vrh
Visoki vrh nad Jezerskim,vrh
Visoko,vrh
Vivodnik,vrh
Viš/Jof Fuart,vrh
Višarska planina / Malga di Lussari,planina
Viševnik,vrh
Viška planina,planina
Vodnikov Vršac (Vršac nad Zadnjico),vrh
Vodnikov dom na Velem polju,koča
Vodnikov dom na Velem polju,bivak
Vodnikov razglednik,vrh
Vodotočno jezero (Veža),planina
Vodotočno jezero (Veža),jezero
Vogel,vrh
Vogel (nad Lepeno),vrh
Volinjak,vrh
Votlina Kralja Matjaža,
Vovar,vrh
Vošca,vrh
Vošni vrh,vrh
Vrata,vrh
Vratca,vrh
Vrh Bače,sedlo
Vrh Brda / Cima Verde,vrh
Vrh Dlani,vrh
Vrh Grubje,vrh
Vrh Hribaric,vrh
Vrh Korena,vrh
Vrh Krnega dola / Monte Cregnedul,vrh
Vrh Krnic,vrh
Vrh Krnice,vrh
Vrh Leh,vrh
Vrh Ljubeljščice (Triangel),vrh
Vrh Osojnic,vrh
Vrh Ovčje planje,vrh
Vrh Planje,vrh
Vrh Planje (nad Globokim),vrh
Vrh Razora,vrh
Vrh Snežne konte,vrh
Vrh nad Peski,vrh
Vrh nad Vodeno Rupo,vrh
Vrh nad Škrbino,vrh
Vrh Škrli,vrh
Vrhe,vrh
Vrholanov vrh (Ravne pri Šoštanju),vrh
Vrtača,vrh
Vrtaška planina,bivak
Vrtaška planina,planina
Vrtaški vrh,vrh
Vrtec,vrh
Vršaki (Južni vrh),vrh
Vršaki (Srednji vrh),vrh
Vršaki (Vrh za Koritami),vrh
Vršaki (Vzhodni vrh),vrh
Vrše,vrh
Vršič vrh,vrh
Vršiči,vrh
Zabreška planina,planina
Zadnja Mojstrovka,vrh
Zadnja Ponca,vrh
Zadnji Vogel,vrh
Zadnjiški Ozebnik,vrh
Zajmenove peči,vrh
Zajčnik,vrh
Zapečnikova planina,planina
Zasavska koča na Prehodavcih,vrh
Zasavska koča na Prehodavcih,koča
Zasavska koča na Prehodavcih,bivak
Zavetišče na Biba planini,koča
Zavetišče na Biba planini,planina
Zavetišče na Kalu,sedlo
Zavetišče na Kalu,koča
Zavetišče na planini Šija,koča
Zavetišče na planini Šija,planina
Zavetišče pod Ponco,bivak
Zavetišče pod Špičkom,koča
Zavetišče pod Špičkom,bivak
Zavetišče v Gozdu,koča
Zavetišče v Gozdu,cerkev
Zavetišče v Hudičevem borštu,
Zavitar,vrh
Zbelovski grad,
Zelenci,jezero
Zeleni vrh,vrh
Zelenjak,vrh
Zeleno jezero,jezero
Zgornje Kriško jezero,jezero
Zgornje Mangartsko jezero,koča
Zgornje Mangartsko jezero,jezero
Zgornji Goreljek (Pokljuka),koča
Zgornji Goreljek (Pokljuka),cerkev
Zgornji Goreljek (Pokljuka),planina
Zgornji Martuljkov slap,slap
Časov vrh,vrh
Čelo,vrh
Četrt,vrh
Češka koča na Spodnjih Ravneh,koča
Češka koča na Spodnjih Ravneh,bivak
Čisovec,vrh
Čisti vrh,vrh
Čofatijev vrh,vrh
Čopov rovt,planina
Črepič,vrh
Črna gora,vrh
Črna gora,bivak
Črna prst,vrh
Črna prst,koča
Črna prst,bivak
Črni vrh / Colrotondo,vrh
Črno jezero,jezero
Črnuški dom na Mali planini,koča
Črnuški dom na Mali planini,planina
Čukla,vrh
Šavnik,vrh
Šentanski vrh,vrh
Šenturška Gora,vrh
Šenturška Gora,koča
Šenturška Gora,cerkev
Šija,vrh
Široka peč,vrh
Šitna glava,vrh
Škednjovec,vrh
Škraplja,vrh
Škrbina,sedlo
Škrbina (Mežakla),vrh
Škrbina (Slaparjeva gora),vrh
Škrlatica,vrh
Šmarjetna glava,vrh
Šober / Monte Sciober Grande,vrh
Šobčev bajer,jezero
Šoparjev vrh,vrh
Šoštanj,
Španov vrh,vrh
Špic,vrh
Špicasti  vrh (Kislica),vrh
Špik,vrh
Špik (Paški Kozjak),vrh
Špik Hude police / Cima di Terrarossa,vrh
Špik nad Nosom / Foronon del Buinz,vrh
Špik nad Nosom / Foronon del Buinz,bivak
Špik nad Planjo / Punta Plagnis,vrh
Špičasti vrh / Spitzberg,vrh
Šplevta,
Šplevta (Indijanec),vrh
Štajerska Rinka,vrh
Štalekarjev vrh,vrh
Štefanja gora,vrh
Štefanja gora,cerkev
Štruca,vrh
Štrukljev vrh,vrh
Šumahov vrh,vrh
Žabiški Kuk,vrh
Železna (Kisla) voda,
Žerjavec (Kavče),vrh
Žerjavov Praprotnik / Loibler Prapotnik,vrh
Žingarica / Singerberg,vrh
Žirovniška planina,planina
Žičnica čez Tolminko,
Žleb (Suho ruševje),sedlo
Žmitkov špic,vrh
Žrd / Sart,vrh
